SOC (%),Voltage (V),Current (A),Battery Temp (°C),Ambient Temp (°C),Charging Duration (min),Degradation Rate (%),Charging Mode,Efficiency (%),Battery Type,Charging Cycles,EV Model,Optimal Charging Duration Class
43.7086107,3.62959305,33.55351154,33.45405988,26.43991757,59.36355203,8.805096198,Fast,98.23898076,Li-ion,112,Model B,1
95.56428758,3.879330663,32.22809192,35.93362794,31.10864659,67.34356594,12.1868596,Fast,97.56262808,LiFePO4,398,Model A,1
75.87945476,4.111062085,91.56291225,25.00935798,30.2032186,105.4547393,13.83233558,Slow,97.23353288,LiFePO4,175,Model A,2
63.87926358,4.01255742,32.45915799,32.49748199,18.07799809,54.00043861,9.318873829,Fast,98.13622523,LiFePO4,150,Model B,1
24.04167764,4.064592804,34.47547535,31.43491966,17.98498939,106.9649685,11.68757724,Fast,97.66248455,Li-ion,886,Model C,2
24.03950683,3.961148357,78.34584362,36.65660754,20.36348735,28.8134431,5.435925976,Slow,98.9128148,Li-ion,248,Model C,0
15.2275251,3.984593595,50.47658582,38.12174121,22.22149453,97.67984372,10.80745029,Fast,97.83850994,LiFePO4,830,Model B,2
87.95585312,4.094436956,79.90395013,20.24313543,23.16911163,104.7547633,14.13951304,Fast,97.17209739,LiFePO4,221,Model A,2
64.10035106,3.674767606,15.88295418,33.48039838,28.59394434,38.18176528,8.060851246,Slow,98.38782975,Li-ion,310,Model B,0
73.726532,3.842597475,53.88140743,21.03671598,16.13360864,63.03465324,9.991050169,Slow,98.00178997,Li-ion,379,Model C,1
11.85260449,3.654846609,13.02522402,30.9771733,15.69345408,36.54997747,5.187320345,Normal,98.96253593,Li-ion,637,Model C,0
97.29188669,4.191367606,15.63878831,25.75265458,22.83821126,90.6604129,13.70726147,Fast,97.25854771,LiFePO4,784,Model B,2
84.91983767,4.160841538,91.5793708,26.13553199,28.94327384,73.53477681,11.68066655,Normal,97.66386669,LiFePO4,255,Model A,1
29.11051996,3.527598768,22.5320834,27.05917007,18.86870686,83.53233467,9.769512391,Normal,98.04609752,Li-ion,337,Model B,2
26.36424705,3.993902621,57.9178614,32.42584898,27.83008963,39.6486967,6.243562859,Slow,98.75128743,LiFePO4,475,Model A,0
26.50640589,4.147673822,46.99860423,26.68099931,20.19656276,41.17458621,6.090585777,Fast,98.78188284,LiFePO4,181,Model A,1
37.38180187,3.626402742,41.26089936,34.65398101,32.72172218,24.14973255,5.614266856,Fast,98.87714663,LiFePO4,591,Model B,0
57.22807885,3.897561661,90.98500111,28.09054771,32.91379889,52.20675352,8.616494121,Slow,98.27670118,LiFePO4,455,Model B,1
48.87505168,4.140841808,11.96410571,21.36706401,20.94574409,75.97446613,9.843311295,Normal,98.03133774,LiFePO4,372,Model A,1
36.21062262,3.523762185,69.74107176,35.67519685,19.59987508,105.7934914,12.41041526,Slow,97.51791695,LiFePO4,679,Model A,2
65.06676053,3.988194187,96.70549908,25.71516649,23.22607944,86.69274475,11.76349175,Fast,97.64730165,LiFePO4,143,Model A,2
22.55444746,3.708144305,60.41513651,28.65533759,19.8106317,63.53963234,7.855458614,Slow,98.42890828,Li-ion,672,Model A,1
36.29301837,4.147077337,94.31402158,33.70887766,28.44767687,115.3120114,13.10942909,Fast,97.37811418,Li-ion,222,Model C,2
42.9725659,4.179740772,14.70320914,26.64912314,31.52129369,91.92452006,11.14146112,Normal,97.77170778,Li-ion,448,Model B,2
51.04629858,4.160986542,47.69139872,21.13171312,28.46184262,113.0165203,13.02694394,Fast,97.39461121,Li-ion,807,Model A,2
80.66583653,3.831949952,33.41420119,27.47842094,31.48700894,72.75879733,11.47044598,Normal,97.7059108,Li-ion,429,Model B,1
27.97064039,4.103429856,75.77388685,38.88897165,22.93984324,45.89042748,7.167182892,Normal,98.56656342,Li-ion,508,Model A,1
56.28109946,4.091184579,98.31673814,32.83468795,18.12633941,25.28266864,6.562678423,Fast,98.68746432,Li-ion,422,Model B,0
63.3173112,3.723370331,33.08770562,33.42958297,29.75901895,92.60848515,12.55471847,Fast,97.48905631,Li-ion,210,Model B,2
14.18053714,4.080240832,68.87571413,32.64564307,22.2094901,32.1302998,5.018833994,Normal,98.9962332,Li-ion,869,Model A,0
64.67903667,3.525905344,27.82878695,23.97984278,28.4254165,50.27751283,8.622736708,Slow,98.27545266,LiFePO4,188,Model A,1
25.34717113,3.917388915,60.87972291,28.36667728,20.41287884,73.24709079,8.789616653,Fast,98.24207667,LiFePO4,532,Model B,1
15.85464337,3.661006186,51.7539238,35.01879597,16.6245927,76.44165878,8.913810198,Normal,98.21723796,Li-ion,809,Model B,1
95.39969835,3.58439682,97.48047967,22.02745795,34.85163591,80.0583197,12.54288446,Normal,97.49142311,LiFePO4,893,Model B,2
96.90688298,3.553867241,64.76745454,25.55705552,18.12403016,36.62553303,9.175324678,Slow,98.16493506,LiFePO4,811,Model C,0
82.75576133,3.987402143,41.45557349,25.52638217,34.76841988,57.97374048,10.24525222,Fast,97.95094956,Li-ion,198,Model A,1
37.41523923,3.737912475,20.26862064,28.64037855,34.54559865,81.71942271,10.11273278,Normal,97.97745344,Li-ion,638,Model C,2
18.79049026,4.00733674,23.61221459,39.60737482,30.87636208,116.9818865,12.66838379,Slow,97.46632324,Li-ion,700,Model C,2
71.58097239,3.545749439,30.2785237,21.35005093,28.18845924,92.76311377,12.37681065,Normal,97.52463787,LiFePO4,245,Model A,2
49.61372444,3.720703236,32.58699952,30.37401989,26.55614101,112.2603757,13.35441853,Fast,97.32911629,LiFePO4,793,Model A,2
20.98344114,3.877643905,86.55544521,23.58729364,32.32203091,96.22120583,10.24697056,Slow,97.95060589,Li-ion,356,Model C,2
54.56592191,4.053506215,60.51005095,39.41353091,20.78879043,79.17169689,11.29661405,Normal,97.74067719,LiFePO4,288,Model A,1
13.0949669,3.723126752,57.10518202,22.26607009,24.35362425,39.20233691,5.034913259,Slow,98.99301735,LiFePO4,339,Model B,0
91.83883619,3.938123964,20.32919847,28.07202005,27.38779939,86.66856519,13.21792324,Fast,97.35641535,LiFePO4,970,Model B,2
33.29019834,4.120184424,87.4125724,34.7576997,23.22380952,82.3379566,10.26389129,Slow,97.94722174,Li-ion,998,Model C,2
69.62700559,3.931104232,75.05328729,34.09108856,23.54972908,80.24691705,11.87314779,Fast,97.62537044,LiFePO4,602,Model C,2
38.05399685,3.663071632,16.09015257,28.45457274,21.60569335,68.9785868,9.073644046,Normal,98.18527119,LiFePO4,807,Model A,1
56.80612191,3.517080547,73.70515875,26.93048336,26.28463633,72.8656604,10.25896863,Fast,97.94820627,LiFePO4,908,Model A,1
59.20392514,4.109069212,58.91843956,27.95224757,32.01149056,53.44425271,8.811496362,Normal,98.23770073,LiFePO4,776,Model C,1
26.636901,3.514888588,17.35528112,25.28552526,19.03056756,71.93126926,8.590393752,Normal,98.28192125,LiFePO4,918,Model C,1
97.2626165,4.112291171,51.24705774,24.10665877,33.68866078,39.75559057,9.381429644,Fast,98.12371407,LiFePO4,370,Model B,0
79.7619541,3.870255994,53.62266584,29.66079395,28.78175307,100.5174397,13.84759071,Normal,97.23048186,LiFePO4,619,Model B,2
94.55490474,4.157347389,24.91970861,25.37067512,31.46546425,38.57769547,9.211086949,Slow,98.15778261,Li-ion,649,Model A,0
90.53446154,4.059148265,95.11283323,25.7492333,26.12381385,28.49662899,8.188903824,Normal,98.36221924,Li-ion,213,Model B,0
63.81099809,4.198553877,86.49778343,33.13512127,30.59033403,63.62460264,10.14935619,Fast,97.97012876,LiFePO4,438,Model A,1
92.96868115,3.745498271,70.21201036,39.37074663,15.32400795,85.83074395,13.76953339,Slow,97.24609332,Li-ion,667,Model A,2
17.96432518,4.037031802,51.60660049,32.07274401,31.3676085,63.77168249,7.816160334,Slow,98.43676793,LiFePO4,458,Model A,1
27.63845762,3.78135164,47.05889874,21.53958934,15.80277718,47.6754132,6.431853448,Normal,98.71362931,LiFePO4,749,Model B,1
14.070456,3.835912934,68.58761204,21.51167228,32.79826753,75.81711839,8.097199613,Normal,98.38056008,LiFePO4,713,Model C,1
39.27972977,3.939253824,59.08886825,39.02846442,34.83925494,54.70023354,8.473762504,Fast,98.3052475,Li-ion,433,Model C,1
44.98095607,4.11157398,15.60457953,25.94581581,20.88134924,113.286769,12.98690268,Slow,97.40261946,LiFePO4,788,Model B,2
34.42141286,4.188858428,56.12523839,21.84133972,19.20637113,112.264514,12.16851379,Fast,97.56629724,LiFePO4,268,Model C,2
84.58637582,4.03779139,82.57632555,31.98089174,30.30726728,70.237182,11.68146188,Normal,97.66370762,Li-ion,438,Model A,1
42.1077994,3.792436748,51.33158898,32.47297557,20.06052682,52.7883994,8.128072032,Slow,98.37438559,Li-ion,897,Model C,1
35.28410587,3.794949902,14.67609198,32.9700964,32.31124766,93.7132414,11.2221469,Fast,97.75557062,LiFePO4,360,Model B,2
58.84264748,4.016307611,80.76503794,25.34804056,17.05685184,23.67129435,6.182142264,Fast,98.76357155,Li-ion,986,Model C,0
22.68318025,3.667144002,28.12274039,20.30221368,17.51910393,67.4769006,7.772344747,Fast,98.44553105,Li-ion,834,Model A,1
82.19772827,3.577331879,33.27587514,39.30030739,34.5830311,53.63233943,10.5442634,Fast,97.89114732,LiFePO4,298,Model A,1
16.70955793,3.74823551,24.82357181,25.01786091,28.47677797,112.0535885,11.42416998,Fast,97.715166,LiFePO4,310,Model B,2
98.81982429,3.701067294,39.71935584,33.52052576,31.93774449,21.20030273,8.383709397,Slow,98.32325812,LiFePO4,386,Model B,0
79.50202924,3.707415684,78.10763551,34.1325974,21.48658755,75.28148757,11.95518863,Fast,97.60896227,Li-ion,791,Model B,1
27.88441134,3.663525426,56.74472736,32.20014834,28.52967499,94.06635811,10.84309116,Slow,97.83138177,Li-ion,861,Model A,2
10.49699054,3.529465233,28.43931467,26.25814788,26.88483655,68.50179875,7.546240151,Fast,98.49075197,Li-ion,842,Model C,1
83.39152856,3.512511754,89.00470703,25.42192508,27.0630024,28.54030302,7.819031267,Normal,98.43619375,LiFePO4,571,Model C,0
